2026-01-05 17:07:48 | INFO     | src.utils.oi_tracker:__init__ - 📊 OI Tracker initialized | Data dir: data/oi_history
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
2026-01-05 17:07:48 | INFO     | api.angelone.symbol_mapper:__init__ - SymbolMapper initialized
2026-01-05 17:07:48 | INFO     | api.angelone.market_hours:__init__ - MarketHoursManager initialized
2026-01-05 17:07:48 | INFO     | api.angelone.data_converter:__init__ - DataConverter initialized
2026-01-05 17:07:48 | INFO     | api.angelone.angelone_client:__init__ - AngelOneClient initialized for TEST
2026-01-05 17:07:48 | INFO     | api.angelone.auth_manager:__init__ - AuthManager initialized for client: TEST
